name,figi,currency,closed,dt
Тинькофф iMOEX,BBG333333333,rub,7.052,2021-09-24
Тинькофф iMOEX,BBG333333333,rub,7.128,2021-09-27
Тинькофф iMOEX,BBG333333333,rub,7.102,2021-09-28
Тинькофф iMOEX,BBG333333333,rub,7.08,2021-09-29
Тинькофф iMOEX,BBG333333333,rub,7.144,2021-09-30
Тинькофф iMOEX,BBG333333333,rub,7.138,2021-10-01
Тинькофф iMOEX,BBG333333333,rub,7.178,2021-10-04
Тинькофф iMOEX,BBG333333333,rub,7.352,2021-10-05
Тинькофф iMOEX,BBG333333333,rub,7.296,2021-10-06
Тинькофф iMOEX,BBG333333333,rub,7.368,2021-10-07
Тинькофф iMOEX,BBG333333333,rub,7.418,2021-10-08
Тинькофф iMOEX,BBG333333333,rub,7.492,2021-10-11
Тинькофф iMOEX,BBG333333333,rub,7.458,2021-10-12
Тинькофф iMOEX,BBG333333333,rub,7.416,2021-10-13
Тинькофф iMOEX,BBG333333333,rub,7.454,2021-10-14
Тинькофф iMOEX,BBG333333333,rub,7.452,2021-10-15
Тинькофф iMOEX,BBG333333333,rub,7.44,2021-10-18
Тинькофф iMOEX,BBG333333333,rub,7.484,2021-10-19
Тинькофф iMOEX,BBG333333333,rub,7.504,2021-10-20
Тинькофф iMOEX,BBG333333333,rub,7.39,2021-10-21
Тинькофф iMOEX,BBG333333333,rub,7.372,2021-10-22
Тинькофф iMOEX,BBG333333333,rub,7.452,2021-10-25
Тинькофф iMOEX,BBG333333333,rub,7.446,2021-10-26
Тинькофф iMOEX,BBG333333333,rub,7.41,2021-10-27
Тинькофф iMOEX,BBG333333333,rub,7.316,2021-10-28
Тинькофф iMOEX,BBG333333333,rub,7.268,2021-10-29
FinEx Золото,BBG005DXDPK9,rub,1030.2,2020-11-02
FinEx Золото,BBG005DXDPK9,rub,1034.0,2020-11-03
FinEx Золото,BBG005DXDPK9,rub,1019.4,2020-11-05
FinEx Золото,BBG005DXDPK9,rub,1027.2,2020-11-06
FinEx Золото,BBG005DXDPK9,rub,964.6,2020-11-09
FinEx Золото,BBG005DXDPK9,rub,979.6,2020-11-10
FinEx Золото,BBG005DXDPK9,rub,975.0,2020-11-11
FinEx Золото,BBG005DXDPK9,rub,982.8,2020-11-12
FinEx Золото,BBG005DXDPK9,rub,995.0,2020-11-13
FinEx Золото,BBG005DXDPK9,rub,982.4,2020-11-16
FinEx Золото,BBG005DXDPK9,rub,979.0,2020-11-17
FinEx Золото,BBG005DXDPK9,rub,972.6,2020-11-18
FinEx Золото,BBG005DXDPK9,rub,965.8,2020-11-19
FinEx Золото,BBG005DXDPK9,rub,971.0,2020-11-20
FinEx Золото,BBG005DXDPK9,rub,952.8,2020-11-23
FinEx Золото,BBG005DXDPK9,rub,927.0,2020-11-24
FinEx Золото,BBG005DXDPK9,rub,933.4,2020-11-25
FinEx Золото,BBG005DXDPK9,rub,925.8,2020-11-26
FinEx Золото,BBG005DXDPK9,rub,920.4,2020-11-27
FinEx Золото,BBG005DXDPK9,rub,916.4,2020-11-30
FinEx Золото,BBG005DXDPK9,rub,931.8,2020-12-01
FinEx Золото,BBG005DXDPK9,rub,934.0,2020-12-02
FinEx Золото,BBG005DXDPK9,rub,936.2,2020-12-03
FinEx Золото,BBG005DXDPK9,rub,920.8,2020-12-04
FinEx Золото,BBG005DXDPK9,rub,930.8,2020-12-07
FinEx Золото,BBG005DXDPK9,rub,930.6,2020-12-08
FinEx Золото,BBG005DXDPK9,rub,921.6,2020-12-09
FinEx Золото,BBG005DXDPK9,rub,911.8,2020-12-10
FinEx Золото,BBG005DXDPK9,rub,913.0,2020-12-11
FinEx Золото,BBG005DXDPK9,rub,907.0,2020-12-14
FinEx Золото,BBG005DXDPK9,rub,921.8,2020-12-15
FinEx Золото,BBG005DXDPK9,rub,924.6,2020-12-16
FinEx Золото,BBG005DXDPK9,rub,935.4,2020-12-17
FinEx Золото,BBG005DXDPK9,rub,938.4,2020-12-18
FinEx Золото,BBG005DXDPK9,rub,956.0,2020-12-21
FinEx Золото,BBG005DXDPK9,rub,949.8,2020-12-22
FinEx Золото,BBG005DXDPK9,rub,953.0,2020-12-23
FinEx Золото,BBG005DXDPK9,rub,943.2,2020-12-24
FinEx Золото,BBG005DXDPK9,rub,949.2,2020-12-25
FinEx Золото,BBG005DXDPK9,rub,942.4,2020-12-28
FinEx Золото,BBG005DXDPK9,rub,939.2,2020-12-29
FinEx Золото,BBG005DXDPK9,rub,953.8,2020-12-30
FinEx Золото,BBG005DXDPK9,rub,971.8,2021-01-04
FinEx Золото,BBG005DXDPK9,rub,978.8,2021-01-05
FinEx Золото,BBG005DXDPK9,rub,959.0,2021-01-06
FinEx Золото,BBG005DXDPK9,rub,935.4,2021-01-08
FinEx Золото,BBG005DXDPK9,rub,928.8,2021-01-11
FinEx Золото,BBG005DXDPK9,rub,920.0,2021-01-12
FinEx Золото,BBG005DXDPK9,rub,928.0,2021-01-13
FinEx Золото,BBG005DXDPK9,rub,918.0,2021-01-14
FinEx Золото,BBG005DXDPK9,rub,916.4,2021-01-15
FinEx Золото,BBG005DXDPK9,rub,922.0,2021-01-18
FinEx Золото,BBG005DXDPK9,rub,917.2,2021-01-19
FinEx Золото,BBG005DXDPK9,rub,928.4,2021-01-20
FinEx Золото,BBG005DXDPK9,rub,929.2,2021-01-21
FinEx Золото,BBG005DXDPK9,rub,939.8,2021-01-22
FinEx Золото,BBG005DXDPK9,rub,949.6,2021-01-25
FinEx Золото,BBG005DXDPK9,rub,940.4,2021-01-26
FinEx Золото,BBG005DXDPK9,rub,945.2,2021-01-27
FinEx Золото,BBG005DXDPK9,rub,953.2,2021-01-28
FinEx Золото,BBG005DXDPK9,rub,947.8,2021-01-29
FinEx Золото,BBG005DXDPK9,rub,956.6,2021-02-01
FinEx Золото,BBG005DXDPK9,rub,939.2,2021-02-02
FinEx Золото,BBG005DXDPK9,rub,942.6,2021-02-03
FinEx Золото,BBG005DXDPK9,rub,919.6,2021-02-04
FinEx Золото,BBG005DXDPK9,rub,912.4,2021-02-05
FinEx Золото,BBG005DXDPK9,rub,922.2,2021-02-08
FinEx Золото,BBG005DXDPK9,rub,923.4,2021-02-09
FinEx Золото,BBG005DXDPK9,rub,919.8,2021-02-10
FinEx Золото,BBG005DXDPK9,rub,915.4,2021-02-11
FinEx Золото,BBG005DXDPK9,rub,908.4,2021-02-12
FinEx Золото,BBG005DXDPK9,rub,902.8,2021-02-15
FinEx Золото,BBG005DXDPK9,rub,901.0,2021-02-16
FinEx Золото,BBG005DXDPK9,rub,888.6,2021-02-17
FinEx Золото,BBG005DXDPK9,rub,889.4,2021-02-18
FinEx Золото,BBG005DXDPK9,rub,891.6,2021-02-19
FinEx Золото,BBG005DXDPK9,rub,894.2,2021-02-20
FinEx Золото,BBG005DXDPK9,rub,908.2,2021-02-22
FinEx Золото,BBG005DXDPK9,rub,891.6,2021-02-24
FinEx Золото,BBG005DXDPK9,rub,886.0,2021-02-25
FinEx Золото,BBG005DXDPK9,rub,871.4,2021-02-26
FinEx Золото,BBG005DXDPK9,rub,871.0,2021-03-01
FinEx Золото,BBG005DXDPK9,rub,862.0,2021-03-02
FinEx Золото,BBG005DXDPK9,rub,854.8,2021-03-03
FinEx Золото,BBG005DXDPK9,rub,855.6,2021-03-04
FinEx Золото,BBG005DXDPK9,rub,853.8,2021-03-05
FinEx Золото,BBG005DXDPK9,rub,857.6,2021-03-09
FinEx Золото,BBG005DXDPK9,rub,860.6,2021-03-10
FinEx Золото,BBG005DXDPK9,rub,856.0,2021-03-11
FinEx Золото,BBG005DXDPK9,rub,847.2,2021-03-12
FinEx Золото,BBG005DXDPK9,rub,856.0,2021-03-15
FinEx Золото,BBG005DXDPK9,rub,851.8,2021-03-16
FinEx Золото,BBG005DXDPK9,rub,861.6,2021-03-17
FinEx Золото,BBG005DXDPK9,rub,866.8,2021-03-18
FinEx Золото,BBG005DXDPK9,rub,870.2,2021-03-19
FinEx Золото,BBG005DXDPK9,rub,878.2,2021-03-22
FinEx Золото,BBG005DXDPK9,rub,885.8,2021-03-23
FinEx Золото,BBG005DXDPK9,rub,890.6,2021-03-24
FinEx Золото,BBG005DXDPK9,rub,891.0,2021-03-25
FinEx Золото,BBG005DXDPK9,rub,887.4,2021-03-26
FinEx Золото,BBG005DXDPK9,rub,876.4,2021-03-29
FinEx Золото,BBG005DXDPK9,rub,865.0,2021-03-30
FinEx Золото,BBG005DXDPK9,rub,870.2,2021-03-31
FinEx Золото,BBG005DXDPK9,rub,890.6,2021-04-01
FinEx Золото,BBG005DXDPK9,rub,889.8,2021-04-02
FinEx Золото,BBG005DXDPK9,rub,891.6,2021-04-05
FinEx Золото,BBG005DXDPK9,rub,910.2,2021-04-06
FinEx Золото,BBG005DXDPK9,rub,905.2,2021-04-07
FinEx Золото,BBG005DXDPK9,rub,912.2,2021-04-08
FinEx Золото,BBG005DXDPK9,rub,911.2,2021-04-09
FinEx Золото,BBG005DXDPK9,rub,907.2,2021-04-12
FinEx Золото,BBG005DXDPK9,rub,898.0,2021-04-13
FinEx Золото,BBG005DXDPK9,rub,886.6,2021-04-14
FinEx Золото,BBG005DXDPK9,rub,911.4,2021-04-15
FinEx Золото,BBG005DXDPK9,rub,910.0,2021-04-16
FinEx Золото,BBG005DXDPK9,rub,915.0,2021-04-19
FinEx Золото,BBG005DXDPK9,rub,922.8,2021-04-20
FinEx Золото,BBG005DXDPK9,rub,926.0,2021-04-21
FinEx Золото,BBG005DXDPK9,rub,911.2,2021-04-22
FinEx Золото,BBG005DXDPK9,rub,903.4,2021-04-23
FinEx Золото,BBG005DXDPK9,rub,899.0,2021-04-26
FinEx Золото,BBG005DXDPK9,rub,900.2,2021-04-27
FinEx Золото,BBG005DXDPK9,rub,896.4,2021-04-28
FinEx Золото,BBG005DXDPK9,rub,890.4,2021-04-29
FinEx Золото,BBG005DXDPK9,rub,897.6,2021-04-30
FinEx Золото,BBG005DXDPK9,rub,901.4,2021-05-04
FinEx Золото,BBG005DXDPK9,rub,901.2,2021-05-05
FinEx Золото,BBG005DXDPK9,rub,910.8,2021-05-06
FinEx Золото,BBG005DXDPK9,rub,912.2,2021-05-07
FinEx Золото,BBG005DXDPK9,rub,919.0,2021-05-10
FinEx Золото,BBG005DXDPK9,rub,914.4,2021-05-11
FinEx Золото,BBG005DXDPK9,rub,914.0,2021-05-12
FinEx Золото,BBG005DXDPK9,rub,910.6,2021-05-13
FinEx Золото,BBG005DXDPK9,rub,916.6,2021-05-14
FinEx Золото,BBG005DXDPK9,rub,928.4,2021-05-17
FinEx Золото,BBG005DXDPK9,rub,927.8,2021-05-18
FinEx Золото,BBG005DXDPK9,rub,935.4,2021-05-19
FinEx Золото,BBG005DXDPK9,rub,930.8,2021-05-20
FinEx Золото,BBG005DXDPK9,rub,928.4,2021-05-21
FinEx Золото,BBG005DXDPK9,rub,932.0,2021-05-24
FinEx Золото,BBG005DXDPK9,rub,937.0,2021-05-25
FinEx Золото,BBG005DXDPK9,rub,942.6,2021-05-26
FinEx Золото,BBG005DXDPK9,rub,936.8,2021-05-27
FinEx Золото,BBG005DXDPK9,rub,935.0,2021-05-28
FinEx Золото,BBG005DXDPK9,rub,943.0,2021-05-31
FinEx Золото,BBG005DXDPK9,rub,940.6,2021-06-01
FinEx Золото,BBG005DXDPK9,rub,939.0,2021-06-02
FinEx Золото,BBG005DXDPK9,rub,922.8,2021-06-03
FinEx Золото,BBG005DXDPK9,rub,930.2,2021-06-04
FinEx Золото,BBG005DXDPK9,rub,929.6,2021-06-07
FinEx Золото,BBG005DXDPK9,rub,923.6,2021-06-08
FinEx Золото,BBG005DXDPK9,rub,923.6,2021-06-09
FinEx Золото,BBG005DXDPK9,rub,917.4,2021-06-10
FinEx Золото,BBG005DXDPK9,rub,913.0,2021-06-11
FinEx Золото,BBG005DXDPK9,rub,906.6,2021-06-14
FinEx Золото,BBG005DXDPK9,rub,906.2,2021-06-15
FinEx Золото,BBG005DXDPK9,rub,902.0,2021-06-16
FinEx Золото,BBG005DXDPK9,rub,863.2,2021-06-17
FinEx Золото,BBG005DXDPK9,rub,872.2,2021-06-18
FinEx Золото,BBG005DXDPK9,rub,879.0,2021-06-21
FinEx Золото,BBG005DXDPK9,rub,875.8,2021-06-22
FinEx Золото,BBG005DXDPK9,rub,876.0,2021-06-23
FinEx Золото,BBG005DXDPK9,rub,867.0,2021-06-24
FinEx Золото,BBG005DXDPK9,rub,866.0,2021-06-25
FinEx Золото,BBG005DXDPK9,rub,864.6,2021-06-28
FinEx Золото,BBG005DXDPK9,rub,863.6,2021-06-29
FinEx Золото,BBG005DXDPK9,rub,871.6,2021-06-30
FinEx Золото,BBG005DXDPK9,rub,879.0,2021-07-01
